Desa/Kelurahan,Kecamatan,Kabupaten,Provinsi,Program PPM,Sektor,Lokasi,Latitude,Longitude,id
Desa Tanjung Lalang,Tanjung Agung,Muara Enim,Sumatera Selatan,Rencana Pembangunan PLTS Irigasi Tanjung Lalang.,Insfrastruktur,"https://www.google.com/maps/place/Tanjung+Lalang,+Tanjung+Agung,+Muara+Enim+Regency,+South+Sumatra/@-3.8473276,103.6203506,72751m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e39eee5c5cf5995:0xcf3c6d5953b59490!8m2!3d-3.8488117!4d103.7694692!16s%2Fg%2F12hhj49mz?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8473276,103.6203506,13
Desa Pulau Panggung,Tanjung Agung,Muara Enim,Sumatera Selatan,-,,"https://www.google.com/maps/place/Pulau+Panggung,+Tanjung+Agung,+Muara+Enim+Regency,+South+Sumatra/@-3.8307101,103.632743,72753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e39ee5fcb24ff89:0x14a9613ef6e713b3!8m2!3d-3.8286182!4d103.7926475!16s%2Fg%2F12hhhtpsr?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8307101,103.632743,14
Desa Penyandingan,Tanjung Agung,Muara Enim,Sumatera Selatan,Persiapan Pengembangan Tanaman Alpukat,Perkebunan,"https://www.google.com/maps/place/Penyandingan,+Tanjung+Agung,+Muara+Enim+Regency,+South+Sumatra/@-3.8380251,103.712683,72752m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e39ecfb0cb5a323:0xfa7175742369c678!8m2!3d-3.8416614!4d103.902799!16s%2Fg%2F12hhgt6r2?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8380251,103.712683,15
Desa Penyandingan,Tanjung Agung,Muara Enim,Sumatera Selatan,Persiapan Budidaya Lele,Perikanan,"https://www.google.com/maps/place/Penyandingan,+Tanjung+Agung,+Muara+Enim+Regency,+South+Sumatra/@-3.8380251,103.712683,72752m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e39ecfb0cb5a323:0xfa7175742369c678!8m2!3d-3.8416614!4d103.902799!16s%2Fg%2F12hhgt6r2?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8380251,103.712683,16
Desa Seleman,Tanjung Agung,Muara Enim,Sumatera Selatan,Budidaya Puyuh Petelur.,Peternakan,"https://www.google.com/maps/place/Puyuh+bangsal+pematang/@-3.8704481,103.7972553,1137m/data=!3m1!1e3!4m14!1m7!3m6!1s0x2e39ef005794f30b:0xbe3917aeb0a11dc7!2sPuyuh+bangsal+pematang!8m2!3d-3.8704481!4d103.7972553!16s%2Fg%2F11w7m26nrc!3m5!1s0x2e39ef005794f30b:0xbe3917aeb0a11dc7!8m2!3d-3.8704481!4d103.7972553!16s%2Fg%2F11w7m26nrc?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8704481,103.7972553,17
Desa Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,SIBA Pembibitan,Perkebunan,"https://www.google.com/maps/place/Pembibitan+Desa+Impian+Binaan+PT+Bukit+Asam+Tbk/@-3.8924969,103.8061775,1137m/data=!3m1!1e3!4m14!1m7!3m6!1s0x2e39e90073a0f88d:0x314ae72ac540f76!2sPembibitan+Desa+Impian+Binaan+PT+Bukit+Asam+Tbk!8m2!3d-3.8924969!4d103.8061775!16s%2Fg%2F11lw894f4b!3m5!1s0x2e39e90073a0f88d:0x314ae72ac540f76!8m2!3d-3.8924969!4d103.8061775!16s%2Fg%2F11lw894f4b?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8924969,103.8061775,18
Desa Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,EcoGrow Mom Utun Makmur,Perkebunan,"google.com/maps/place//@-3.8822972,103.805175,1137m/data=!3m1!1e3!4m6!1m5!3m4!2zM8KwNTInNTYuMyJTIDEwM8KwNDgnMTguNiJF!8m2!3d-3.8822972!4d103.805175?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8822972,103.805175,19
Desa Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,PLTS Irigasi Tanjung Karangan,Insfrastruktur,"https://www.google.com/maps/place/3%C2%B054'53.2%22S+103%C2%B047'46.3%22E/@-3.9147461,103.7958373,1137m/data=!3m1!1e3!4m4!3m3!8m2!3d-3.9147889!4d103.7961806?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.9147461,103.7958373,20
Desa Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,BARA Agro Sirkuler - Budidaya Ikan Air Tawar,Perikanan,"https://www.google.com/maps/place/Budidaya+Ikan+Desa+Impian+Binaan+PT+Bukit+Asam+Tbk/@-3.9378553,103.8062321,1137m/data=!3m1!1e3!4m14!1m7!3m6!1s0x2e39e9000f83f017:0xb92e52f420f27c2c!2sBudidaya+Ikan+Desa+Impian+Binaan+PT+Bukit+Asam+Tbk!8m2!3d-3.9378553!4d103.8062321!16s%2Fg%2F11wwgk73tz!3m5!1s0x2e39e9000f83f017:0xb92e52f420f27c2c!8m2!3d-3.9378553!4d103.8062321!16s%2Fg%2F11wwgk73tz?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.9378553,103.8062321,21
Desa Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,PLTS Irigasi Tanjung Agung,Insfrastruktur,"https://www.google.com/maps/place/3%C2%B057'03.0%22S+103%C2%B048'08.7%22E/@-3.9508194,103.8024111,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.9508194!4d103.8024111?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.9508194,103.8024111,22
Desa Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,Pengelolaan Sampah Organik dan Budidaya Maggot,Industri,"https://www.google.com/maps/place//@-3.9457231,103.8090296,1137m/data=!3m1!1e3!4m6!1m5!3m4!2zM8KwNTYnNDUuMiJTIDEwM8KwNDgnMzcuMiJF!8m2!3d-3.9458944!4d103.8103278?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.9457231,103.8090296,23
Desa Bangun Sari,Gunung Megang,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/iHGNzL4GYopyirRZ7,-3.63192,103.8878,24
Desa Suban Jeriji,Rambang Niru,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/ov3dLWgCf58mfbfx5,-3.63192,103.8878,25
Desa Lubai Makmur,Lubai Ulu,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/Y9ugXT8FKjegJ6FY9,-3.87997,103.9853,26
Kelurahan Lebuay Bandung,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/Y9ugXT8FKjegJ6FY9,-3.87997,103.9853,27
Desa Muara Lawai,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/BCqVLdki1SennDSn8,-3.6719,103.7599,28
Desa Banjarsari,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/wvRE8tUJ8zstnv4r7,-3.69162,103.7129,29
Desa Prabumenang,Merapi Timur,Lahat,Sumatera Selatan,Co-Elevation Prabumenang - Industri Pembuatan Tempe & Olahan Tempe.,Industri,"https://www.google.com/maps/place//@-3.7010842,103.6861391,1137m/data=!3m1!1e3!4m6!1m5!3m4!2zM8KwNDInMDQuMCJTIDEwM8KwNDEnMTIuNyJF!8m2!3d-3.7011056!4d103.6868472?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7010842,103.6861391,30
Desa Gunung Kembang,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/au4L4USNcGfd4DyM8,-3.69591,103.6517,31
Desa Sirah Pulau,Merapi Timur,Lahat,Sumatera Selatan,Persiapan Program Ayam Petelur Berdaya.,Peternakan,https://maps.app.goo.gl/wcgSiC9JbZjk1iCd9,-3.74295,103.7169,32
Desa Tanjung Jambu,Merapi Timur,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/wcgSiC9JbZjk1iCd9,-3.74295,103.7169,33
Desa Merapi,Merapi Barat,Lahat,Sumatera Selatan,-,,https://maps.app.goo.gl/wcgSiC9JbZjk1iCd9,-3.74295,103.7169,34
